ExportDate,DistanceLeft,DistanceRight
6/19/2020,-9999.0,-9999.0
6/19/2020,717.05,717.05
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,717.03,717.03
6/19/2020,-9999.0,-9999.0
6/19/2020,717.04,717.04
6/19/2020,717.04,717.04
6/19/2020,-9999.0,-9999.0
6/19/2020,717.2,717.2
6/19/2020,-9999.0,-9999.0
6/19/2020,717.21,717.21
6/19/2020,717.21,717.21
6/19/2020,-9999.0,-9999.0
6/19/2020,717.21,717.21
6/19/2020,717.21,717.21
6/19/2020,-9999.0,-9999.0
6/19/2020,717.22,717.22
6/19/2020,717.22,717.22
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,716.09,716.09
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,716.09,716.09
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,716.11,716.11
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,716.12,716.12
6/19/2020,-9999.0,-9999.0
6/19/2020,716.12,716.12
6/19/2020,716.12,716.12
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,715.16,715.16
6/19/2020,-9999.0,-9999.0
6/19/2020,715.16,715.16
6/19/2020,-9999.0,-9999.0
6/19/2020,-9999.0,-9999.0
6/19/2020,715.17,715.17
